OH,Youngstown
SD,Yankton
WA,Yakima
MA,Worcester
WI,WisconsinDells
NC,Winston-Salem
MB,Winnipeg
VA,Winchester
NC,Wilmington
DE,Wilmington
ND,Williston
PA,Williamsport
WV,Williamson
TX,WichitaFalls
KS,Wichita
WV,Wheeling
FL,WestPalmBeach
WA,Wenatchee
CA,Weed
GA,Waycross
WI,Wausau
IL,Waukegan
SD,Watertown
NY,Watertown
IA,Waterloo
CT,Waterbury
DC,Washington
PA,Warren
WA,WallaWalla
TX,Waco
IN,Vincennes
TX,Victoria
MS,Vicksburg
BC,Vancouver
ND,ValleyCity
GA,Valdosta
NY,Utica
PA,Uniontown
TX,Tyler
ID,TwinFalls
AL,Tuscaloosa
MS,Tupelo
OK,Tulsa
AZ,Tucson
CO,Trinidad
NJ,Trenton
MI,TraverseCity
ON,Toronto
KS,Topeka
OH,Toledo
TX,Texarkana
IN,TerreHaute
FL,Tampa
FL,Tallahassee
WA,Tacoma
NY,Syracuse
GA,Swainsboro
SC,Sumter
PA,Stroudsburg
CA,Stockton
WI,StevensPoint
OH,Steubenville
CO,Sterling
VA,Staunton
OH,Springfield
MO,Springfield
MA,Springfield
IL,Springfield
WA,Spokane
IN,SouthBend
SD,SiouxFalls
IA,SiouxCity
LA,Shreveport
TX,Sherman
WY,Sheridan
OK,Seminole
AL,Selma
MO,Sedalia
WA,Seattle
PA,Scranton
NB,Scottsbluff
NY,Schenectady
GA,Savannah
MI,SaultSainteMarie
FL,Sarasota
CA,SantaRosa
NM,SantaFe
CA,SantaBarbara
CA,SantaAna
CA,SanJose
CA,SanFrancisco
OH,Sandusky
CA,SanDiego
CA,SanBernardino
TX,SanAntonio
TX,SanAngelo
UT,SaltLakeCity
MD,Salisbury
CA,Salinas
KS,Salina
CO,Salida
OR,Salem
MN,SaintPaul
MO,SaintLouis
MO,SaintJoseph
MI,SaintJoseph
VT,SaintJohnsbury
MN,SaintCloud
FL,SaintAugustine
MI,Saginaw
CA,Sacramento
VT,Rutland
NM,Roswell
NC,RockyMount
WY,RockSprings
IL,Rockford
NY,Rochester
MN,Rochester
VA,Roanoke
VA,Richmond
IN,Richmond
UT,Richfield
WI,Rhinelander
NV,Reno
SA,Regina
CA,RedBluff
PA,Reading
OH,Ravenna
